ID,Überschrift,Kurztext,Text,Linien,Startdatum,Enddatum,Quelle,Anhänge,Links,Bild,Kategorien,Nachrichtentypen,Zeitstempel,Betroffene Haltestellen,Aktualisierungszeit
01ef324f-2934-4857-88ff-9a36af224dbd,Streckensperrung nach Unwetter: S4 wird zwischen Marbach (N) und Backnang durch Busse ersetzt..,Streckensperrung nach Unwetter: S4 wird zwischen Marbach (N) und Backnang durch Busse ersetzt..,"<p>Die Züge der&nbsp;<strong>S4&nbsp;</strong>fahren bis auf Weiteres im&nbsp;<strong>Abschnitt Stuttgart Schwabstraße - Marbach.</strong>&nbsp;Die DB setzt zwischen den Bahnhöfen&nbsp;<strong>Marbach und Backnang Busse als Ersatz</strong>&nbsp;für die S-Bahnen der Linie S4 ein. Die als&nbsp;<strong>Linie S4E gekennzeichneten Busse</strong>&nbsp;fahren im Halbstundentakt und halten in</p><ul><li>Marbach(N), Bahnhof</li><li>Erdmannhausen, Bahnhofstraße</li><li>Erdmannhausen, Rathaus</li><li>Kirchberg (M), Marbacher Str.</li><li>Kirchberg (M), Rathaus</li><li>Burgstall (M), Bahnhof</li><li>Erbstetten-Ortsmitte</li><li>Backnang, ZOB</li></ul><p>Die Busse fahren in Backnang früher ab als die S-Bahnen und kommen in der anderen Richtung dort später an.</p><p></p><p>Ein Hangrutsch nach Unwetter hat am 26. Juni die Gleisanlagen im Bahnhof Kirchberg (M) erheblich zerstört, weshalb zwischen Marbach (N) und Backnang bis auf Weiteres kein Zugverkehr mehr möglich ist. Aufgrund der örtlich instabilen Böden ist ein Gutachten von Geologen und Hydrologen erforderlich. Nach Auswertung des Gutachtens, voraussichtlich Mitte September 2024 informiert die DB über die notwendigen Maßnahmen und Arbeiten bis zur Wiederaufnahme des Zugbetriebs.</p><p>Bitte informieren Sie sich vor Fahrtantritt und planen die längere Fahrzeit der Busse mit ein.</p><p></p>",,2024-06-26T19:35:57.259,2024-12-14T23:59:00,RisDisruptions,Fahrplan 09.09-14.12.2024.pdf,Informationen zu den Abfahrtshaltestellen des Ersatzverkehrs; weitere Informationen,https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2024-10-06/3e727f3d-0c94-41cc-b2c6-b3382bd17663reisendenkarte_20240723-132704.png,,2,2024-11-09T02:03:35.326787,,2024-11-09T03:03:36.638249
e5095c05-382a-4955-a54a-726e5428fe21,Instandhaltungsfenster 2024: Fahrtänderungen im S-Bahnverkehr aufgrund von Baustelle,Wegen Instandhaltungsarbeiten im S-Bahn-Tunnel kommt es in 23 Nächten von Montag auf Dienstag zwischen 22.30 Uhr und 4.30 Uhr zu Fahrplanänderungen im S-Bahn-Verkehr.,"<h1><strong>Geänderte Linienverläufe und Fahrzeiten</strong></h1><p>in unterschiedlichen Zeiträumen, <strong>jeweils in den Nächten Montag/Dienstag</strong></p><ul><li><strong>S1</strong> verkehrt <strong>in angepassten Fahrzeiten</strong> und über Stuttgart <strong>Hauptbahnhof (oben)</strong> - ohne Halt zwischen S-Hauptbahnhof und S-Vaihingen</li><li><strong>S2</strong> verkehrt <strong>in angepassten Fahrzeiten</strong> mit <strong>allen Halten </strong>zwischen Stuttgart Hauptbahnhof (tief) und Schwabstraße / S-Vaihingen</li><li><strong>S3</strong> verkehrt zwischen Backnang und Stuttgart <strong>Hauptbahnhof (oben)</strong></li><li><strong>S4 </strong>verkehrt zwischen Backnang / Marbach (N) und Stuttgart <strong>Hauptbahnhof (oben)</strong></li><li><strong>S5 </strong>verkehrt <strong>in angepassten Fahrzeiten </strong>mit <strong>allen Halten </strong>zwischen Stuttgart Hauptbahnhof (tief) und Schwabstraße</li><li><strong>S6</strong> verkehrt zwischen Weil der Stadt und Stuttgart <strong>Hauptbahnhof (oben)</strong></li></ul><h1></h1><h1><strong>Das Instandhaltungsfenster findet jeweils in den Nächten von Montag auf Dienstag statt:</strong></h1><h1></h1><ul><li>Im November 2024: 4./5. November, 18./19. November, 21./22. November</li><li>Im Dezember 2024: 9./10. Dezember</li></ul><p>Eine Jahreskalenderübersicht finden ist im Downloadbereich bereitgestellt.</p><h1><strong>Warum eigentlich Instandhaltungsfenster?</strong></h1><p>Damit die Gleise und die Technik im S-Bahntunnel fit bleiben, benötigt DB Netz auch im Jahresfahrplan 2024 für die Instandhaltungsarbeiten ausreichend zusammenhängende Zeitfenster.&nbsp;Um tagsüber den Betrieb nicht zu stören, haben wir die Arbeiten nachts gebündelt. Wir nennen sie Instandhaltungsfenster.</p><p>Die DB Netz AG hat als Infrastrukturbetreiber mit uns der S-Bahn Stuttgart ein Konzept erarbeitet:</p><p>Zwischen Stuttgart Hbf (tief) und Stuttgart-Vaihingen wird während dieser Zeit lediglich ein reduziertes Fahrplanangebot&nbsp;im S-Bahntunnel gefahren. Zudem werden in diesem Zeitraum die Fahrzeiten einzelner Linien angepasst, sodass Anschlüsse ggf. nicht erreicht werden.&nbsp;Die Änderungen sind im Jahresfahrplan enthalten und über die elektronische Fahrplanauskunft bei der DB oder in den Apps abrufbar.&nbsp;</p>","S 2, S 3, S 5",2024-11-04T22:30:00,2024-12-09T04:30:00,RisDisruptions,Instandhaltungsfenster-Stammstrecke-2024-webansicht-data.jpg; Kalender-Instandhaltungsfenster-Stammstrecke-2024-data (1).pdf,,https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2024-10-28/514b35a2-4e9f-4c62-a852-c2b505ff736creisendenkarte_20241028-084955.png,"isInTimeInterval, isWeek",2,2024-11-09T02:03:35.326787,"8006699, 8006513, 8006700, 8005779, 8006698, 8005776, 8098096",2024-11-09T03:03:36.638297
04a6aff2-7fb4-4854-b8f6-d65ca8572ef6,Bad Cannstatt <> Esslingen(N): Haltausfälle und Ersatzverkehr,"Von 8. November, 21.00 Uhr bis 11. November, 5.00 Uhr finden zwischen Obertürkheim und Bad Cannstatt Arbeiten an der Leit- und Sicherungstechnik statt.","<ul><li><strong>S1 Richtung Herrenberg: </strong>Haltausfall in Obertürkheim, Untertürkheim und Neckarpark</li><li><strong>S1 Richtung Kirchheim(T):</strong> Haltausfall Neckarpark, Obertürkheim</li><li><strong>Zwischen Bad Cannstatt und Esslingen(N) fährt ein Ersatzverkehr mit Bussen (S1E)</strong> mit Halt in Mettingen, Obertürkheim, Untertürkheim und Neckarpark.</li></ul><p><strong>Information zum VfB-Heimspiel gegen Eintracht Frankfurt am 10.11.2024</strong></p><p><strong>In Folge von Straßensperrungen während des VfB Stuttgart Heimspiels gegen Eintracht Frankfurt am 10.11.2024 kann der Ersatzverkehr S1E von 14:30&nbsp;Uhr bis 21:30 Uhr&nbsp;die Stationen Neckarpark und Bad Cannstatt nicht anfahren.&nbsp;Bitte nutzen Sie zur An- und Abreise ins Stadion den Bahnhof Bad Cannstatt.&nbsp;</strong></p><p>Wegen der Bauarbeiten können zudem die S-Bahnen im Bahnhof Bad Cannstatt das Gleis 1 für flexible Abfahrten in Richtung Hauptbahnhof nicht nutzen. Wegen der vielen Fahrgäste kann kurzzeitig der Zugang zum Bahnsteig der S-Bahn-Abfahrten an den Gleisen 2 und 3 für einen sicheren Bahnbetrieb eingeschränkt werden. Bitte berücksichtigen Sie das geänderte Verkehrskonzept bei der An- und Abreise und planen Sie jeweils mehr Zeit für die Fahrtverbindungen ein. Um keine kurzfristigen Änderungen zu verpassen, informieren Sie sich bitte unmittelbar vor Fahrtantritt in den digitalen Reiseauskunftsmedien unter bahn.de oder in der App DB Navigator.</p>",S 1,2024-11-08T21:00:00,2024-11-11T05:30:00,RisDisruptions,Fahrplan S1E Esslingen - Bad Cannstatt_8.-11.11.pdf,Wichtige Informationen zum VfB Stuttgart Heimspiel gegen Eintracht Frankfurt am 10.11.2024; weitere Informationen,https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2024-11-07/3fcf6652-c6ad-4d13-92f1-b38bdc5582d6reisendenkarte_20241017-103222.png,,2,2024-11-09T02:03:35.326787,"8005769, 8001921, 8005775, 8001920, 8005772",2024-11-09T03:03:36.638349
e8d1909f-af70-4c71-91c3-1642bc053b6d,Schorndorf <> Endersbach: Zugausfälle und Ersatzverkehr,Am 10. November von 0.00 Uhr bis 5.00 Uhr sowie in der Nacht 10./11. November von 22.00 Uhr bis 5.00 Uhr finden Bauarbeiten zwischen Schorndorf und Endersbach statt.,"<ul><li>S2&nbsp;entfällt zwischen Schorndorf und Endersbach.</li><li><strong>Zwischen Schorndorf</strong>&nbsp;<strong>und Endersbach</strong> <strong>fährt ein Ersatzverkehr mit Bussen. </strong>Bitte beachten Sie die längeren Fahrzeiten der Busse und wählen Sie gegebenenfalls eine frühere Verbindung.</li></ul><p>Bitte berücksichtigen Sie diese Abweichungen bei Ihrer Reiseplanung und informieren Sie sich vorab über Ihre Reiseverbindungen. Um keine kurzfristigen Änderungen zu verpassen, informieren Sie sich bitte auch unmittelbar vor Fahrtantritt in den digitalen Reiseauskunftsmedien unter&nbsp;bahn.de&nbsp;oder in der App DB Navigator.</p>",S 2,2024-11-10T00:00:00,2024-11-11T05:00:00,RisDisruptions,,weitere Informationen,https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2024-10-25/e9708b0f-2b59-4831-b442-a28bbbde8ba3reisendenkarte_20241015-141852.png,,2,2024-11-09T02:03:35.326787,"8001785, 8002448, 8006485, 8000934, 8006277, 8002240, 8005424",2024-11-09T03:03:36.638385
881361e0-7db0-4f73-af81-24ddd1331dd7,Sindelfingen <-> Böblingen: Haltausfälle und Ersatzverkehr,"In der Nacht 13./14. November, 21.00 Uhr bis 4.30 Uhr, finden Instandhaltungsarbeiten im Bahnhof Böblingen statt. ","<ul><li><strong>S60 verkehrt nur zwischen Renningen und Sindelfingen</strong>.</li><li>Zwischen Sindelfingen und Böblingen fährt ein <strong>Ersatzverkehr mit Bussen (S60E)</strong>. Bitte nutzen Sie auch die Buslinie 701. Beachten Sie bitte die längeren Fahrzeiten der Busse und wählen Sie gegebenenfalls eine frühere Verbindung.</li></ul><p>Bitte berücksichtigen Sie diese Abweichungen bei Ihrer Reiseplanung und informieren Sie sich vorab über Ihre Reiseverbindungen. Um keine kurzfristigen Änderungen zu verpassen, informieren Sie sich bitte auch unmittelbar vor Fahrtantritt in den digitalen Reiseauskunftsmedien unter&nbsp;bahn.de&nbsp;oder in der App DB Navigator.</p>",S 60,2024-11-13T21:00:00,2024-11-14T04:30:00,RisDisruptions,Fahrplan S60E_Sindelfingen - Böblingen_13.-14. November.pdf,weitere Informationen,https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2024-10-29/3f6c1740-0d5d-4bf6-b7d9-b94502d2753creisendenkarte_20241029-085234.png,"isInTimeInterval, isWeek",2,2024-11-09T02:03:35.326787,"8005574, 8001055",2024-11-09T03:03:36.638448
4a27d475-1cd3-447e-b013-b9fcd84c96df,Bad Cannstatt <> Esslingen(N): Haltausfälle und Ersatzverkehr,"Von 15. November, 21.00 Uhr bis 18. November, 5.00 Uhr sowie 22. November, 21.00 Uhr bis 25. November, 5.00 Uhr finden zwischen Obertürkheim und Bad Cannstatt Arbeiten an der Leit- und Sicherungstechnik statt.","<ul><li><strong>S1 Richtung Herrenberg: </strong>Haltausfall in Obertürkheim, Untertürkheim und Neckarpark</li><li><strong>S1 Richtung Kirchheim(T):</strong> Haltausfall Neckarpark, Obertürkheim</li><li><strong>Zwischen Bad Cannstatt und Esslingen(N) fährt ein Ersatzverkehr mit Bussen (S1E) </strong>mit Halt in Mettingen, Obertürkheim, Untertürkheim und Neckarpark.</li></ul><p><strong>Information zum VfB-Heimspiel gegen VfL Bochum am 23.11.2024</strong></p><p>In Folge von Straßensperrungen während des VfB Stuttgart Heimspiels gegen VfL Bochum am 23.11.2024 kann der Ersatzverkehr S1E von 14.00 Uhr bis 18.45 Uhr&nbsp;die Stationen Neckarpark und Bad Cannstatt nicht anfahren.&nbsp;Bitte nutzen Sie zur An- und Abreise ins Stadion den Bahnhof Bad Cannstatt.&nbsp;</p><p>Bitte berücksichtigen Sie diese Abweichungen bei Ihrer Reiseplanung und informieren Sie sich vorab über Ihre Reiseverbindungen. Um keine kurzfristigen Änderungen zu verpassen, informieren Sie sich bitte auch unmittelbar vor Fahrtantritt in den digitalen Reiseauskunftsmedien unter&nbsp;bahn.de&nbsp;oder in der App DB Navigator.</p>",S 1,2024-11-15T21:00:00,2024-11-25T05:00:00,RisDisruptions,Fahrplan Ersatzverkehr S1E Esslingen - Bad Cannstatt_15.-17.11._22.-24.11.pdf,weitere Informationen,https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2024-11-06/8cb5142a-7cca-44ff-b42b-126c770762f1reisendenkarte_20241025-102101.png,,2,2024-11-09T02:03:35.326787,"8006743, 8005769",2024-11-09T03:03:36.638474
f89486cc-4640-487d-bf0a-5c6b13f745c7,Stuttgart-Schwabstraße <-> S-Vaihingen: Haltausfälle ,"In den Nächten 17./18. und 28./29. November, 23.40 Uhr bis 2.00 Uhr, finden Schleifarbeiten zwischen S-Schwabstraße und S-Vaihingen statt.","<p><strong>S3 mit Abfahrt in S-Schwabstraße um 0.20 Uhr und S3 mit Abfahrt S-Vaihingen um 1.00 Uhr entfällt in beiden Richtungen zwischen S-Schwabstraße und S-Vaihingen.</strong></p><p>Bitte berücksichtigen Sie diese Abweichungen bei Ihrer Reiseplanung und informieren Sie sich vorab über Ihre Reiseverbindungen. Um keine kurzfristigen Änderungen zu verpassen, informieren Sie sich bitte auch unmittelbar vor Fahrtantritt in den digitalen Reiseauskunftsmedien unter&nbsp;bahn.de&nbsp;oder in der App DB Navigator.</p>",S 3,2024-11-17T23:40:00,2024-11-29T02:00:00,RisDisruptions,,weitere Informationen,https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2024-10-29/b78bf4f4-1494-48df-8a3b-68d9a20a0547reisendenkarte_20241029-143719.png,,2,2024-11-09T02:03:35.326787,"8005776, 8005779, 8006513, 8006698",2024-11-09T03:03:36.638504
617a3910-5b8a-42cd-abde-11f431f9a283,Bietigheim-Bissingen <> Ludwigsburg: Haltausfälle und Ersatzverkehr,In der Nacht 18./19. November von 21.00 Uhr bis 5.00 Uhr finden Instandhaltungsarbeiten zwischen Kornwestheim und Ludwigsburg statt.,"<p>In der Nacht 18./19. November von 21.00 Uhr bis 5.00 Uhr finden Instandhaltungsarbeiten zwischen Kornwestheim und Ludwigsburg statt.</p><p></p><ul><li>S5 Richtung Schwabstraße<strong>&nbsp;</strong>hält zwischen 21.00 Uhr und 0.00 Uhr nicht in Tamm und Asperg.</li><li>S5 Richtung Schwabstraße hält zwischen 0.00 Uhr und 5.00 Uhr nicht in Tamm.</li><li>Bitte nutzen Sie die S-Bahnen der Gegenrichtung, zeitweise fährt zwischen Bietigheim-Bissingen und Ludwigsburg ein Ersatzverkehr mit Bussen.</li></ul><p>Bitte berücksichtigen Sie diese Abweichungen bei Ihrer Reiseplanung und informieren Sie sich vorab über Ihre Reiseverbindungen. Um keine kurzfristigen Änderungen zu verpassen, informieren Sie sich bitte auch unmittelbar vor Fahrtantritt in den digitalen Reiseauskunftsmedien unter&nbsp;bahn.de&nbsp;oder in der App DB Navigator.</p><p></p>",S 5,2024-11-18T21:00:00,2024-11-19T05:00:00,RisDisruptions,,weitere Informationen,https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2024-10-22/53df5305-17c4-4df9-ae62-96aa804dd658reisendenkarte_20241021-160100.png,"isInTimeInterval, isWeek",2,2024-11-09T02:03:35.326787,"8000038, 8000630, 8000235",2024-11-09T03:03:36.638524
f4270fdb-5881-47e4-9716-b5cf7e178c5e,Stuttgart Hbf <> Bad Cannstatt: Zugausfälle und Ersatzverkehr,Im Zeitraum 20. November 5.00 Uhr bis 23. November 0.45 Uhr finden Weichenarbeiten zwischen Stuttgart Hbf und Bad Cannstatt statt.,"<p>Es kommt zu folgenden Änderungen im Liniennetz der S-Bahn Stuttgart:</p><ul><li>S1 verkehrt nur zwischen Kirchheim(T) und Bad Cannstatt.</li><li>S2 verkehrt nur zwischen Schorndorf und Waiblingen.</li><li>S3 verkehrt nur zwischen Backnang und Bad Cannstatt.</li><li>Baustellenlinie S15 zwischen Herrenberg und Bietigheim-Bissingen.</li><li>Baustellenlinie S24 zwischen Filderstadt und Marbach(N).</li><li>Baustellenlinie S36 zwischen Flughafen/Messe und Weil der Stadt.</li><li>S60 verkehrt nur zwischen Zuffenhausen und Böblingen via Renningen.</li><li>Zwischen Stuttgart Hbf und Bad Cannstatt&nbsp;fährt&nbsp;ein Ersatzverkehr mit Bussen.<strong>&nbsp;</strong>Bitte beachten Sie die längeren Fahrzeiten der Busse und wählen Sie gegebenenfalls eine frühere Verbindung.</li></ul><p>Bitte berücksichtigen Sie diese Abweichungen bei Ihrer Reiseplanung und informieren Sie sich vorab über Ihre Reiseverbindungen. Um keine kurzfristigen Änderungen zu verpassen, informieren Sie sich bitte auch unmittelbar vor Fahrtantritt in den digitalen Reiseauskunftsmedien unter&nbsp;bahn.de&nbsp;oder in der App DB Navigator.</p>","S 1, S 15, S 2, S 24, S 3, S 36, S 4, S 5, S 6, S 60",2024-11-20T05:00:00,2024-11-23T00:45:00,RisDisruptions,,weitere Informationen,https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2024-10-22/035a31b1-ccc7-457c-8a20-d8ba2687015breisendenkarte_20241007-104509.png,,2,2024-11-09T02:03:35.326787,"8098096, 8005769, 8005767, 8006700, 8000096",2024-11-09T03:03:36.638549
895f8238-1108-4e2d-ba6d-0db4fbdab3fd,Plochingen <> Kirchheim(T) <> Oberlenningen: Haltausfälle und Ersatzverkehr,In der Nacht 23./24. November von 21.00 Uhr bis 5.00 Uhr finden Instandhaltungsarbeiten zwischen Wendlingen und Kirchheim(T) statt.,"<ul><li>S1 hält nicht zwischen Plochingen und Kirchheim(T)</li><li>RB64: die letzten zwei Fahrten zwischen Kirchheim(T) und Oberlenningen entfallen.  </li><li>Zwischen Plochingen und Kirchheim(T) sowie Kirchheim(T) und Oberlenningen fährt ein Ersatzverkehr mit Bussen.</li></ul><p>Bitte beachten Sie die früheren Abfahrtszeiten der Busse in Kirchheim(T) sowie die längeren Fahrtzeiten der Busse.</p><p>Bitte berücksichtigen Sie diese Abweichungen bei Ihrer Reiseplanung und informieren Sie sich vorab über Ihre Reiseverbindungen. Um keine kurzfristigen Änderungen zu verpassen, informieren Sie sich bitte auch unmittelbar vor Fahrtantritt in den digitalen Reiseauskunftsmedien unter&nbsp;bahn.de&nbsp;oder in der App DB Navigator.</p>","RB 64, S 1",2024-11-23T20:00:00,2024-11-24T05:00:00,RisDisruptions,Busfahrplan RB 64_Oberlenningen - Kirchheim.pdf; Busfahrplan S1E Plochingen-Kirchheim.pdf,weitere Informationen,https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2024-10-25/bab87358-9e53-486d-9c54-9b8ba72c64ddreisendenkarte_20241025-093039.png,isWeekend,2,2024-11-09T02:03:35.326787,"8005998, 8001428, 8001205, 8003283, 8004740, 8004553, 8000302, 8003282, 8006346, 8003280, 8006331",2024-11-09T03:03:36.638577
