ID;Überschrift;Kurztext;Text;Linien;Startdatum;Enddatum;Quelle;Anhänge;Links;Bild;Kategorien;Nachrichtentypen;Zeitstempel;Betroffene Haltestellen;Aktualisierungszeit
c40bfdc6-c9ad-445e-a67f-dee1cce0790a;S1 S2 S3 S4 S5 S6 S60: Beendet: Stuttgart Stadtmitte: Ausfälle,Teilausfälle,Verspätungen aufgrund Türstörung;Türstörung in Stadtmitte behoben, es kommt zu Folgeabweichungen;<p>Nach einer Türstörung im Bereich der Stadtmitte kommt es bei der S-Bahn Stuttgart noch zu Abweichungen auf allen Linien, bis alle S-Bahnen wieder fahrplanmäßig verkehren. Informieren Sie sich in der Online-Auskunft und achten Sie auf Ansagen und Anzeigetafeln.</p>;S 1, S 2, S 3, S 4, S 5, S 6, S 60;2024-10-21T17:25:03.6;2024-10-21T18:30:00;RisDisruptions;;;https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2024-10-21/9f51de0a-8cf1-4cdb-812a-da1c8dac3f45reisendenkarte_20241021-172813.png;isWeek;1;2024-10-22T10:16:05.986375;8006700, 8098096;2024-10-22T12:16:10.987660
8a59b17d-402a-443f-9954-5bf37bf2e651;S-Bahnen können wieder im S-Bahntunnel zwischen S-Hauptbahnhof (tief) und Schwabstraße / S-Vaihingen verkehren;Es kommt vorübergehend zu Folgeabweichungen;<p>Die S-Bahnen der Linien S1, S2, S3, S4, S5, S6 und S60 können wieder auf der Stammstrecke zwischen S-Hauptbahnhof (tief) und Schwabstraße / S-Vaihingen verkehren. Die Sperrung infolge eines Feuerwehreinsatzes ist aufgehoben.</p><p></p><p>Aufgrund der vorangegangenen Unterbrechung kommt es vorübergehend zu Folgeverspätungen und -ausfällen, bis dass der S-Bahnverkehr sich wieder eingetaktet hat.</p><p></p><p>Bitte prüfen Sie weiterhin Ihre Reiseverbindung online und achten auch auf örtliche Lautsprecheransagen und Anzeigen an den Bahnsteigen.</p>;S 1, S 2, S 3, S 4, S 5, S 6, S 60;2024-10-22T08:50:35.928;2024-10-22T11:00:00;RisDisruptions;;;https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2024-10-22/4a98f8f6-a450-480e-bdd8-4bd7f15c6535reisendenkarte_20241022-095457.png;isWeek;1;2024-10-22T10:16:05.986375;8006699, 8006700, 8006698, 8098096;2024-10-22T12:16:10.987696
53ac6ef1-8de9-47bb-8184-4274bcf0620a;S1 verkehrt wieder zwischen Esslingen (N) und Plochingen, Sperrung aufgehoben wegen unberechtigten Personen auf der Strecke;Es kommt weiterhin zu Einschränkungen.;<p>Die S-Bahnen der Linie S1 können wieder zwischen Esslingen(N) und Plochingen verkehren. Die Sperrung wegen unbefugten Personen auf der Strecke wurde aufgehoben. </p><p></p><p>Bitte beachten Sie, dass im S-Bahnverkehr weiterhin Einschränkungen bestehen infolge der Unterbrechung der Stammstrecke. Bitte prüfen Sie Ihre Reiseverbindung online und achten auch auf Lautsprecheransagen und Anzeigen an den Bahnsteigen.</p>;S 1;2024-10-22T09:24:07.038;2024-10-22T10:00:00;RisDisruptions;;;https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2024-10-22/c5c8dc73-d6ac-4de9-9a53-452ee6ddecf4reisendenkarte_20241022-092709.png;isWeek;1;2024-10-22T10:16:05.986375;8004528, 8006642, 8000508, 8001920, 8000302;2024-10-22T12:16:10.987724
d076974f-afa0-466c-a239-41fcb93afe49;Weicheneinbauarbeiten in S-Vaihingen. Es kommt zu Fahrtabweichungen bei den S-Bahnen der Linien S1, S2 und S3.;Im Zeitraum vom Sonntag, 13. Oktober (21.00 Uhr) bis Samstag, 26. Oktober (4.30 Uhr) sind Weicheneinbauarbeiten in S-Vaihingen geplant. Es kommt zu Fahrtabweichungen bei den S-Bahnen der Linien S1, S2 und S3':;"<p>Im&nbsp;<strong>30-Minuten-Takt</strong>&nbsp;verkehrt die</p><ul><li>Linie&nbsp;<strong>S1 zwischen Herrenberg und Kirchheim(T)</strong></li><li>Linie&nbsp;<strong>S2 zwischen Filderstadt und Schorndorf</strong></li><li>Linie&nbsp;<strong>S3 zwischen Flughafen/Messe und Backnang</strong></li></ul><p>Von&nbsp;<strong>Montag bis Freitag</strong>, jeweils zwischen&nbsp;<strong>6-19 Uhr</strong>&nbsp;verkehrt zusätzlich im&nbsp;<strong>15-Minuten-Takt die</strong></p><ul><li>Linie<strong>&nbsp;S1 zwischen S-Schwabstraße und Plochingen</strong></li><li>Linie&nbsp;<strong>S2 zwischen S-Hauptbahnhof (oben) und Schorndorf</strong></li><li>Linie&nbsp;<strong>S3 zwischen Bad Cannstatt und Backnang</strong></li></ul><p>Die Fahrten der S2 von Schorndorf nach Filderstadt um 7.03 Uhr und 16.33 Uhr, sowie von Filderstadt nach Schorndorf um 7.18 Uhr und 16.48 Uhr entfallen im Gesamtzeitraum.</p><p>Bitte berücksichtigen Sie diese Abweichungen bei Ihrer Reiseplanung und informieren sich online vor Fahrtantritt über Ihre Reiseverbindung.</p>";S 1, S 2, S 3;2024-10-13T21:00:00;2024-10-26T04:30:00;RisDisruptions;Bauinfo_S1-S3_13.-26.10._Weicheneinbau_Stuttgart-Vaihingen.pdf;Deutsche Bahn schnürt Baupaket für die Gäubahn im Oktober;https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2024-10-22/13592976-8a8c-451b-9fa3-10d90d67afeareisendenkarte_20241022-080136.png;;2;2024-10-22T10:16:05.986375;8005776, 8005779, 8005773, 8000096;2024-10-22T12:16:10.987749
89b07c85-2099-4ea2-9963-fed2fac53c69;Bauarbeiten zwischen Plochingen und Kirchheim(T), 24./25.10., 22.15-1.30 Uhr, S1 wird zwischen Plochingen und Kirchheim(T) durch Busse ersetzt;Bauarbeiten zwischen Plochingen und Kirchheim(T), 24./25.10., 22.15-1.30 Uhr, S1 wird zwischen Plochingen und Kirchheim(T) durch Busse ersetzt;"<p>In der Nacht&nbsp;<strong>24./25. Oktober</strong>&nbsp;in der Zeit von<strong>&nbsp;22.15 Uhr bis 1.30 Uhr</strong>&nbsp;sind zwischen Plochingen und Kirchheim(T) Bauarbeiten geplant. Die S-Bahnen der Linie&nbsp;<strong>S1&nbsp;</strong>werden&nbsp;<strong>zwischen Plochingen und Kirchheim (T) durch einen Ersatzverkehr mit Bussen (S1E) ersetzt</strong>. Die Busse S1E halten an allen Unterwegshalten.</p><p>Bitte beachten Sie, dass wegen der längeren Fahrzeiten die&nbsp;<strong>Busse von Kirchheim(T) nach Plochingen bereits 28 Minuten früher abfahren</strong>, als die planmäßigen S-Bahnen. Dadurch wird der Anschluss in Plochingen auf die Linie S1 erreicht.</p><p>Bitte berücksichtigen Sie diese Abweichungen bei Ihrer Reiseplanung und informieren sich vor Fahrtantritt online über Ihre Reiseverbindung.</p>";S 1;2024-10-24T22:15:00;2024-10-25T01:30:00;RisDisruptions;Bauinfo_S1_RB64_24.-27.10_ (002).pdf;;https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2024-10-08/0ef67e3b-8f87-4f9b-bd50-efd6873342f6reisendenkarte_20240913-180350.png;isInTimeInterval, isWeek;2;2024-10-22T10:16:05.986375;8000302, 8003282, 8006346, 8006331, 8003280;2024-10-22T12:16:10.987789
4a89c5c7-91a8-40f2-bb92-8f0bac062f5a;Herrenberg <> S.-Vaihingen: Fahrplanabweichungen und Ersatzverkehr;In der Nacht 7./8. November im Zeitraum von ca. 21.00 Uhr bis ca. 5.00 Uhr finden Instandhaltungsarbeiten zwischen Gärtringen und S-Vaihingen statt. Es kommt zu Verspätungen von bis zu 5 Minuten.;"<ul><li><strong>S1 Richtung Herrenberg, planmäßige Abfahrt in S-Vaihingen um 21.20 Uhr, entfällt ab S-Vaihingen. </strong>Von S-Vaihingen nach Böblingen fährt ein Ersatzverkehr mit Bussen, ohne Halt in S-Rohr. In Böblingen besteht Anschluss an eine Linie S1 nach Herrenberg.</li><li><strong>S1 Richtung Kirchheim(T), planmäßige Abfahrt in Herrenberg um 22.16 Uhr,</strong> fährt erst ab S-Vaihingen um 22.40 Uhr. Von Herrenberg nach Böblingen fährt ein Ersatzverkehr mit Bussen. In Böblingen besteht Anschluss an eine Linie S1 nach Kirchheim(T).</li></ul><p>Bitte berücksichtigen Sie diese Abweichungen bei Ihrer Reiseplanung und informieren Sie sich vorab über Ihre Reiseverbindungen. Um keine kurzfristigen Änderungen zu verpassen, informieren Sie sich bitte auch unmittelbar vor Fahrtantritt in den digitalen Reiseauskunftsmedien unter&nbsp;bahn.de&nbsp;oder in der App DB Navigator.</p>";S 1;2024-11-07T21:00:00;2024-11-08T05:00:00;RisDisruptions;;;https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2024-10-22/01f8d126-1ed7-4755-a421-375614291940reisendenkarte_20241015-113752.png;isInTimeInterval, isWeek;2;2024-10-22T10:16:05.986375;8005201, 8001689, 8003022, 8005776, 8004490, 8002165, 8001055, 8005773, 8002785;2024-10-22T12:16:10.987821
04a6aff2-7fb4-4854-b8f6-d65ca8572ef6;Arbeiten an der Leit- und Sicherungstechnik zwischen Bad Cannstatt und Obertürkheim;Arbeiten an der Leit- und Sicherungstechnik zwischen Bad Cannstatt und Obertürkheim: Haltausfälle und Ersatzverkehr mit Bussen;<p>Von 8. November, 21.00 Uhr bis 11. November, 5.00 Uhr finden zwischen Obertürkheim und Bad Cannstatt Arbeiten an der Leit- und Sicherungstechnik statt.</p><p><strong>Linie S1</strong></p><ul><li>S1 Richtung Herrenberg: Haltausfall in Obertürkheim, Untertürkheim und Neckarpark</li><li>S1 Richtung Kirchheim(T): Haltausfall Neckarpark, Obertürkheim, </li></ul><p><strong>Ersatzverkehr:</strong></p><ul><li>S1E: Esslingen – Bad Cannstatt</li></ul><p>VfB-Heimspiel gegen Eintracht Frankfurt am 10.11.2024: Derzeit ist das Ersatzverkehr-Konzept zwischen Bad Cannstatt und Esslingen am Spieltag noch in Planung. Sobald dieses final feststeht, werden wir Sie darüber gesondert informieren.</p><p>Bitte berücksichtigen Sie diese Änderungen bei Ihrer Reiseplanung und prüfen Ihre Reiseverbindung online vor Fahrtantritt.</p>;S 1;2024-11-08T21:00:00;2024-11-11T05:30:00;RisDisruptions;;;https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2024-10-17/dc116e9f-df15-42d4-a6f9-77a128146b69reisendenkarte_20241017-103222.png;;2;2024-10-22T10:16:05.986375;8005769, 8001921, 8005775, 8001920, 8005772;2024-10-22T12:16:10.987854
3834fe90-10de-45d3-8368-5a701674442d;4./5. Dezember Instandhaltungsarbeiten zwischen Gärtringen und S-Vaihingen;In der Nacht 4./5. Dezember im Zeitraum von ca. 21.00 Uhr bis ca. 5.00 Uhr finden Instandhaltungsarbeiten auf der Strecke zwischen Gärtringen und S-Vaihingen statt. Es kommt bei den S-Bahnen der Linie S1 zu Verspätungen und einzelnen Fahrtausfällen.;"<p>📅&nbsp; 4./5. Dezember Instandhaltungsarbeiten zwischen Gärtringen und S-Vaihingen</p><p>In der Nacht&nbsp;<strong>4./5. Dezember&nbsp;</strong>im Zeitraum&nbsp;<strong>von ca. 21.00 Uhr bis ca. 5.00 Uhr</strong>&nbsp;finden Instandhaltungsarbeiten auf der Strecke zwischen Gärtringen und S-Vaihingen statt. Es kommt bei den S-Bahnen der Linie&nbsp;<strong>S1 zu Verspätungen und einzelnen Fahrtausfällen</strong>.</p><ul><li><ul><li><strong>S1 Richtung Herrenberg, ursprüngliche Ankunft in Herrenberg um 21.44 Uhr entfällt zwischen S-Vaihingen und Herrenberg</strong>. Von S-Vaihingen nach Böblingen wird ein Ersatzverkehr mit Bussen eingerichtet, welche in S-Vaihingen um 21.26 Uhr abfahren und in Goldberg halten.</li><li><strong>S1 Richtung Kirchheim(T), ursprüngliche Abfahrt in Herrenberg um 22.16 Uhr entfällt zwischen Herrenberg und S-Vaihingen</strong>&nbsp;und beginnt erst in S-Vaihingen um 22.40 Uhr. Von Herrenberg nach Böblingen wird ein Ersatzverkehr mit Bussen eingerichtet, welche in Herrenberg um 22.16 Uhr nach Böblingen abfahren und an allen Unterwegsstationen bis Böblingen halten.</li></ul></li></ul><p>Bitte berücksichtigen Sie diese Änderungen bei Ihrer Reiseplanung und wählen gegebenenfalls eine frühere Verbindung. Bitte prüfen Sie Ihre Reiseverbindung online vor Fahrtantritt.</p>";S 1;2024-12-04T21:00:00;2024-12-05T05:00:00;RisDisruptions;;;https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2024-10-15/191c4006-2369-49d3-b0da-aba26fd5e69freisendenkarte_20241015-110321.png;isInTimeInterval, isWeek;2;2024-10-22T10:16:05.986375;8005201, 8001689, 8003022, 8005776, 8004490, 8002165, 8001055, 8005773, 8002785;2024-10-22T12:16:10.987928
e5095c05-382a-4955-a54a-726e5428fe21;Instandhaltungsfenster 2024: Fahrtänderungen im S-Bahnverkehr aufgrund von Baustelle;Wegen Instandhaltungsarbeiten im S-Bahn-Tunnel kommt es in 23 Nächten von Montag auf Dienstag zwischen 22.30 Uhr und 4.30 Uhr zu Fahrplanänderungen im S-Bahn-Verkehr.;"<h1><strong>Geänderte Linienverläufe und Fahrzeiten</strong></h1><p>in unterschiedlichen Zeiträumen, <strong>jeweils in den Nächten Montag/Dienstag</strong></p><ul><li><strong>S1</strong> verkehrt <strong>in angepassten Fahrzeiten</strong> und über Stuttgart <strong>Hauptbahnhof (oben)</strong> - ohne Halt zwischen S-Hauptbahnhof und S-Vaihingen</li><li><strong>S2</strong> verkehrt <strong>in angepassten Fahrzeiten</strong> mit <strong>allen Halten </strong>zwischen Stuttgart Hauptbahnhof (tief) und Schwabstraße / S-Vaihingen</li><li><strong>S3</strong> verkehrt zwischen Backnang und Stuttgart <strong>Hauptbahnhof (oben)</strong></li><li><strong>S4 </strong>verkehrt zwischen Backnang / Marbach (N) und Stuttgart <strong>Hauptbahnhof (oben)</strong></li><li><strong>S5 </strong>verkehrt <strong>in angepassten Fahrzeiten </strong>mit <strong>allen Halten </strong>zwischen Stuttgart Hauptbahnhof (tief) und Schwabstraße</li><li><strong>S6</strong> verkehrt zwischen Weil der Stadt und Stuttgart <strong>Hauptbahnhof (oben)</strong></li></ul><h1></h1><h1><strong>Das Instandhaltungsfenster findet jeweils in den Nächten von Montag auf Dienstag statt:</strong></h1><h1></h1><ul><li>Im Oktober 2024: 14./15. Oktober, 21./22. Oktober</li><li>Im November 2024: 4./5. November, 18./19. November, 21./22. November</li><li>Im Dezember 2024: 9./10. Dezember</li></ul><p>Eine Jahreskalenderübersicht finden ist im Downloadbereich bereitgestellt.</p><h1><strong>Warum eigentlich Instandhaltungsfenster?</strong></h1><p>Damit die Gleise und die Technik im S-Bahntunnel fit bleiben, benötigt DB Netz auch im Jahresfahrplan 2024 für die Instandhaltungsarbeiten ausreichend zusammenhängende Zeitfenster.&nbsp;Um tagsüber den Betrieb nicht zu stören, haben wir die Arbeiten nachts gebündelt. Wir nennen sie Instandhaltungsfenster.</p><p>Die DB Netz AG hat als Infrastrukturbetreiber mit uns der S-Bahn Stuttgart ein Konzept erarbeitet:</p><p>Zwischen Stuttgart Hbf (tief) und Stuttgart-Vaihingen wird während dieser Zeit lediglich ein reduziertes Fahrplanangebot&nbsp;im S-Bahntunnel gefahren. Zudem werden in diesem Zeitraum die Fahrzeiten einzelner Linien angepasst, sodass Anschlüsse ggf. nicht erreicht werden.&nbsp;Die Änderungen sind im Jahresfahrplan enthalten und über die elektronische Fahrplanauskunft bei der DB oder in den Apps abrufbar.&nbsp;</p>";S 2, S 3, S 5;2024-10-14T22:30:00;2024-12-09T04:30:00;RisDisruptions;"Kalender-Instandhaltungsfenster-Stammstrecke-2024-data (1).pdf; Instandhaltungsfenster-Stammstrecke-2024-webansicht-data.jpg";;https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2024-10-11/aa3e3c2e-16e5-4431-a697-8b480db88220reisendenkarte_20240723-164552.png;isInTimeInterval, isWeek;2;2024-10-22T10:16:05.986375;8006699, 8006513, 8006700, 8005779, 8006698, 8005776, 8098096;2024-10-22T12:16:10.987976
e8d1909f-af70-4c71-91c3-1642bc053b6d;Schorndorf <> Endersbach: Zugausfälle und Ersatzverkehr;Am 10. November von 0.00 Uhr bis 5.00 Uhr sowie in der Nacht 10./11. November von 22.00 Uhr bis 5.00 Uhr finden Bauarbeiten zwischen Schorndorf und Endersbach statt.;"<ul><li>S2&nbsp;entfällt zwischen Schorndorf und Endersbach.</li><li><strong>Zwischen Schorndorf</strong>&nbsp;<strong>und Endersbach</strong> <strong>fährt</strong> <strong>Ersatzverkehr mit Bussen. </strong>Bitte beachten Sie die längeren Fahrzeiten der Busse und wählen Sie gegebenenfalls eine frühere Verbindung.</li></ul><p>Bitte berücksichtigen Sie diese Abweichungen bei Ihrer Reiseplanung und informieren Sie sich vorab über Ihre Reiseverbindungen. Um keine kurzfristigen Änderungen zu verpassen, informieren Sie sich bitte auch unmittelbar vor Fahrtantritt in den digitalen Reiseauskunftsmedien unter&nbsp;bahn.de&nbsp;oder in der App DB Navigator.</p>";S 2;2024-11-10T00:00:00;2024-11-11T05:00:00;RisDisruptions;;;https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2024-10-22/66195a77-4288-4b50-9a13-3079e084bb7areisendenkarte_20241015-141852.png;;2;2024-10-22T10:16:05.986375;8001785, 8002448, 8006485, 8000934, 8006277, 8002240, 8005424;2024-10-22T12:16:10.988039
